POB11,POB14,POB21,POB23,DISC1,DISC7,DISC8,DISC9,DISC10,DISC11,DISC12,DISC13
7.0,9.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
14.0,18.0,45.0,12.0,3.0,3.0,-6.0,-6.0,-6.0,-6.0,-6.0,3.0
4.0,10.0,26.0,9.0,3.0,-6.0,-6.0,0.0,-6.0,-6.0,-6.0,0.0
6.0,13.0,27.0,7.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,5.0,16.0,3.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,9.0,32.0,10.0,-6.0,-6.0,-6.0,0.0,-6.0,0.0,0.0,0.0
7.0,6.0,16.0,-6.0,-6.0,-6.0,0.0,0.0,-6.0,0.0,0.0,0.0
5.0,4.0,12.0,-6.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0
14.0,12.0,62.0,25.0,-6.0,0.0,0.0,-6.0,0.0,0.0,0.0,-6.0
9.0,10.0,31.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,46.0,86.0,8.0,-6.0,0.0,-6.0,-6.0,0.0,-6.0,-6.0,4.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
16.0,12.0,37.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,11.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,16.0,51.0,5.0,5.0,0.0,-6.0,-6.0,-6.0,3.0,0.0,-6.0
9.0,11.0,27.0,-6.0,-6.0,-6.0,0.0,0.0,-6.0,0.0,0.0,0.0
3.0,8.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
6.0,7.0,13.0,0.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0
18.0,32.0,50.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
12.0,9.0,27.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
8.0,4.0,15.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,15.0,34.0,6.0,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0
12.0,10.0,42.0,16.0,-6.0,-6.0,0.0,0.0,0.0,0.0,-6.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
10.0,13.0,37.0,11.0,3.0,0.0,-6.0,-6.0,-6.0,0.0,0.0,0.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
14.0,7.0,28.0,5.0,-6.0,-6.0,-6.0,0.0,-6.0,-6.0,-6.0,0.0
16.0,30.0,54.0,6.0,-6.0,-6.0,0.0,-6.0,-6.0,-6.0,-6.0,0.0
8.0,14.0,29.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,-6.0
18.0,14.0,59.0,16.0,4.0,0.0,3.0,0.0,0.0,0.0,-6.0,0.0
31.0,36.0,75.0,5.0,-6.0,-6.0,0.0,-6.0,-6.0,0.0,-6.0,-6.0
30.0,26.0,82.0,4.0,-6.0,0.0,0.0,0.0,0.0,-6.0,0.0,-6.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
11.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,36.0,79.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.0,13.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
-6.0,8.0,12.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
12.0,11.0,28.0,7.0,-6.0,-6.0,0.0,0.0,0.0,0.0,-6.0,-6.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
20.0,21.0,59.0,8.0,-6.0,-6.0,0.0,0.0,0.0,0.0,-6.0,-6.0
6.0,16.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
